,symbol,sector
0,A,Health Technology
1,AA,Non-Energy Minerals
2,AACQ,Finance
3,AAL,Transportation
4,AAPL,Electronic Technology
5,ABB,Producer Manufacturing
6,ABBV,Health Technology
7,ABC,Distribution Services
8,ABEV,Consumer Non-Durables
9,ABNB,Consumer Services
10,ABT,Health Technology
11,ABUS,Health Technology
12,ACAD,Health Technology
13,ACB,Process Industries
14,ACGL,Finance
15,ACI,Retail Trade
16,ACN,Technology Services
17,ADBE,Technology Services
18,ADI,Electronic Technology
19,ADM,Process Industries
20,ADMA,Health Technology
21,ADP,Technology Services
22,ADSK,Technology Services
23,ADT,Commercial Services
24,ADVM,Health Technology
25,AEE,Utilities
26,AEG,Finance
27,AEM,Non-Energy Minerals
28,AEO,Retail Trade
29,AEP,Utilities
30,AER,Finance
31,AES,Utilities
32,AEVA,Electronic Technology
33,AFL,Finance
34,AFMD,Health Technology
35,AFRM,Technology Services
36,AG,Non-Energy Minerals
37,AGEN,Health Technology
38,AGI,Non-Energy Minerals
39,AHCO,Finance
40,AI,Technology Services
41,AIG,Finance
42,AJG,Finance
43,AKAM,Technology Services
44,AKBA,Health Technology
45,ALB,Process Industries
46,ALK,Transportation
47,ALKS,Health Technology
48,ALL,Finance
49,ALLO,Health Technology
50,ALLY,Finance
51,ALTO,Process Industries
52,ALXN,Health Technology
53,AM,Industrial Services
54,AMAT,Producer Manufacturing
55,AMC,Consumer Services
56,AMCR,Process Industries
57,AMD,Electronic Technology
58,AME,Producer Manufacturing
59,AMGN,Health Technology
60,AMKR,Electronic Technology
61,AMPE,Health Technology
62,AMRN,Health Technology
63,AMRS,Process Industries
64,AMTX,Process Industries
65,AMWL,Technology Services
66,AMX,Communications
67,AMZN,Retail Trade
68,ANF,Retail Trade
69,ANGI,Technology Services
70,ANTM,Health Services
71,AON,Finance
72,AOS,Producer Manufacturing
73,APA,Energy Minerals
74,APH,Electronic Technology
75,API,Technology Services
76,APO,Finance
77,APPH,Process Industries
78,APPS,Technology Services
79,APTV,Producer Manufacturing
80,AQB,Health Technology
81,AQMS,Non-Energy Minerals
82,AR,Energy Minerals
83,ARDX,Health Technology
84,ARES,Finance
85,ARMK,Consumer Services
86,ARRY,Electronic Technology
87,ARVL,Consumer Durables
88,ASAN,Technology Services
89,ASB,Finance
90,ASO,Retail Trade
91,ASTS,Finance
92,ASX,Electronic Technology
93,ASXC,Commercial Services
94,ATH,Finance
95,ATHX,Health Technology
96,ATI,Non-Energy Minerals
97,ATNX,Health Technology
98,ATOS,Health Technology
99,ATUS,Consumer Services
100,ATVI,Consumer Durables
101,AU,Non-Energy Minerals
102,AUPH,Health Technology
103,AUTL,Health Technology
104,AUY,Non-Energy Minerals
105,AVGO,Electronic Technology
106,AVTR,Process Industries
107,AXL,Producer Manufacturing
108,AXP,Finance
109,AXTA,Process Industries
110,AXU,Non-Energy Minerals
111,AYRO,Producer Manufacturing
112,AZEK,Producer Manufacturing
113,AZN,Health Technology
114,AZUL,Transportation
115,BA,Electronic Technology
116,BABA,Retail Trade
117,BAC,Finance
118,BAM,Finance
119,BAX,Health Technology
120,BB,Technology Services
121,BBBY,Retail Trade
122,BBD,Finance
123,BBL,Non-Energy Minerals
124,BBVA,Finance
125,BBY,Retail Trade
126,BCE,Communications
127,BCRX,Health Technology
128,BCS,Finance
129,BDX,Health Technology
130,BE,Producer Manufacturing
131,BEKE,Technology Services
132,BEN,Finance
133,BEST,Transportation
134,BFLY,Health Technology
135,BG,Process Industries
136,BGCP,Finance
137,BGFV,Retail Trade
138,BGS,Consumer Non-Durables
139,BHC,Health Technology
140,BHP,Non-Energy Minerals
141,BIDU,Technology Services
142,BIGC,Technology Services
143,BIIB,Health Technology
144,BILI,Technology Services
145,BILL,Technology Services
146,BJ,Retail Trade
147,BK,Finance
148,BKD,Health Services
149,BKI,Technology Services
150,BKR,Industrial Services
151,BLDP,Producer Manufacturing
152,BLDR,Producer Manufacturing
153,BLL,Process Industries
154,BLMN,Consumer Services
155,BLNK,Consumer Services
156,BMY,Health Technology
157,BNGO,Health Technology
158,BNS,Finance
159,BNTX,Health Technology
