,symbol
0,A
1,AA
2,AACQ
3,AAL
4,AAPL
5,ABB
6,ABBV
7,ABC
8,ABEV
9,ABNB
10,ABT
11,ABUS
12,ACAD
13,ACB
14,ACGL
15,ACI
16,ACN
17,ADBE
18,ADI
19,ADM
20,ADMA
21,ADP
22,ADSK
23,ADT
24,ADVM
25,AEE
26,AEG
27,AEM
28,AEO
29,AEP
30,AER
31,AES
32,AEVA
33,AFL
34,AFMD
35,AFRM
36,AG
37,AGEN
38,AGI
39,AHCO
40,AI
41,AIG
42,AJG
43,AKAM
44,AKBA
45,ALB
46,ALK
47,ALKS
48,ALL
49,ALLO
50,ALLY
51,ALTO
52,ALXN
53,AM
54,AMAT
55,AMC
56,AMCR
57,AMD
58,AME
59,AMGN
60,AMKR
61,AMPE
62,AMRN
63,AMRS
64,AMTX
65,AMWL
66,AMX
67,AMZN
68,ANF
69,ANGI
70,ANTM
71,AON
72,AOS
73,APA
74,APH
75,API
76,APO
77,APPH
78,APPS
79,APTV
80,AQB
81,AQMS
82,AR
83,ARDX
84,ARES
85,ARMK
86,ARRY
87,ARVL
88,ASAN
89,ASB
90,ASO
91,ASTS
92,ASX
93,ASXC
94,ATH
95,ATHX
96,ATI
97,ATNX
98,ATOS
99,ATUS
100,ATVI
101,AU
102,AUPH
103,AUTL
104,AUY
105,AVGO
106,AVTR
107,AXL
108,AXP
109,AXTA
110,AXU
111,AYRO
112,AZEK
113,AZN
114,AZUL
115,BA
116,BABA
117,BAC
118,BAM
119,BAX
120,BB
121,BBBY
122,BBD
123,BBL
124,BBVA
125,BBY
126,BCE
127,BCRX
128,BCS
129,BDX
130,BE
131,BEKE
132,BEN
133,BEST
134,BFLY
135,BG
136,BGCP
137,BGFV
138,BGS
139,BHC
140,BHP
141,BIDU
142,BIGC
143,BIIB
144,BILI
145,BILL
146,BJ
147,BK
148,BKD
149,BKI
150,BKR
151,BLDP
152,BLDR
153,BLL
154,BLMN
155,BLNK
156,BMY
157,BNGO
158,BNS
159,BNTX
160,BORR
161,BOX
162,BP
163,BPY
164,BRFS
165,BRK.B
166,BSBR
167,BSX
168,BSY
169,BTBT
170,BTG
171,BTI
172,BTU
173,BTX
174,BUD
175,BVN
176,BWA
177,BX
178,BYD
179,BYND
180,C
181,CAG
182,CAH
183,CAN
184,CARG
185,CARR
186,CAT
187,CB
188,CBAT
189,CBRE
190,CC
191,CCIV
192,CCJ
193,CCK
194,CCL
195,CCO
196,CCXI
197,CD
198,CDE
199,CDEV
200,CDNS
201,CELH
202,CENX
203,CERN
204,CERS
205,CF
206,CFG
207,CFX
208,CG
209,CGC
210,CGEN
211,CHD
212,CHGG
213,CHNG
214,CHPT
215,CHRW
216,CHS
217,CHWY
218,CHX
219,CI
220,CIDM
221,CIEN
222,CIG
223,CL
224,CLDR
225,CLF
226,CLGX
227,CLNE
228,CLOV
229,CLR
230,CLSK
231,CLVS
232,CLVT
233,CLX
234,CMA
235,CMCSA
236,CME
237,CMI
238,CMS
239,CNC
240,CNDT
241,CNHI
242,CNI
243,CNK
244,CNP
245,CNQ
246,CNR
247,CNX
248,COF
249,COG
250,COMM
251,COP
252,COST
253,COTY
254,CP
255,CPB
256,CPE
257,CPG
258,CPRI
259,CPRT
260,CPRX
261,CRBP
262,CREE
263,CRIS
264,CRK
265,CRM
266,CRON
267,CROX
268,CRSR
269,CRWD
