,symbol
0,AA
1,AACQ
2,AAL
3,AAN
4,AAOI
5,AAON
6,AB
7,ABB
8,ABCB
9,ABCL
10,ABCM
11,ABEO
12,ABEV
13,ABM
14,ABUS
15,ACA
16,ACAC
17,ACAD
18,ACB
19,ACCD
20,ACCO
21,ACEL
22,ACEV
23,ACGL
24,ACH
25,ACHC
26,ACI
27,ACIC
28,ACIU
29,ACIW
30,ACLS
31,ACM
32,ACND
33,ACRS
34,ACTC
35,ACTG
36,ADAP
37,ADCT
38,ADM
39,ADMA
40,ADMS
41,ADN
42,ADNT
43,ADPT
44,ADT
45,ADTN
46,ADV
47,ADVM
48,AEG
49,AEL
50,AEM
51,AENZ
52,AEO
53,AER
54,AERI
55,AES
56,AEVA
57,AFIB
58,AFL
59,AFMD
60,AFRM
61,AFYA
62,AG
63,AGC
64,AGEN
65,AGI
66,AGIO
67,AGLE
68,AGO
69,AGR
70,AGRO
71,AGS
72,AGYS
73,AHCO
74,AI
75,AIG
76,AIH
77,AIMC
78,AIR
79,AJAX
80,AJRD
81,AKBA
82,AKRO
83,AKTS
84,AKUS
85,AL
86,ALBO
87,ALC
88,ALDX
89,ALE
90,ALEC
91,ALGM
92,ALK
93,ALKS
94,ALLO
95,ALLT
96,ALLY
97,ALPN
98,ALSK
99,ALSN
100,ALT
101,ALTO
102,ALTR
103,ALUS
104,ALVR
105,ALXO
106,AM
107,AMBC
108,AMC
109,AMCR
110,AMCX
111,AMKR
112,AMPE
113,AMPH
114,AMR
115,AMRC
116,AMRK
117,AMRN
118,AMRS
119,AMRX
120,AMSC
121,AMTI
122,AMTX
123,AMWL
124,AMX
125,ANAB
126,ANDE
127,ANF
128,ANGI
129,ANGO
130,ANNX
131,ANVS
132,AONE
133,AOS
134,AOSL
135,AOUT
136,APA
137,APAM
138,APEI
139,APEN
140,APG
141,APH
142,API
143,APLS
144,APO
145,APOG
146,APPH
147,APPS
148,APTO
149,APXT
150,AQB
151,AQMS
152,AQN
153,AQUA
154,AR
155,ARAY
156,ARCE
157,ARCH
158,ARCO
159,ARCT
160,ARDX
161,ARES
162,ARGO
163,ARKO
164,ARLO
165,ARLP
166,ARMK
167,ARNA
168,ARNC
169,AROC
170,ARQT
171,ARRY
172,ARVL
173,ARVN
174,ARWR
175,ARYA
176,ASAN
177,ASB
178,ASIX
179,ASLN
180,ASO
181,ASPL
182,ASPN
183,ASTE
184,ASTS
185,ASX
186,ASXC
187,ATAX
188,ATCO
189,ATEC
190,ATEN
191,ATER
192,ATGE
193,ATH
194,ATHA
195,ATHX
196,ATI
197,ATNX
198,ATOM
199,ATOS
200,ATRA
201,ATRO
202,ATRS
203,ATSG
204,ATUS
205,AU
206,AUB
207,AUD
208,AUDC
